Date	TempHighF	TempAvgF	TempLowF	DewPointHighF	DewPointAvgF	DewPointLowF	HumidityHighPercent	HumidityAvgPercent	HumidityLowPercent	SeaLevelPressureHighInches	SeaLevelPressureAvgInches	SeaLevelPressureLowInches	VisibilityHighMiles	VisibilityAvgMiles	VisibilityLowMiles	WindHighMPH	WindAvgMPH	WindGustMPH
2013-12-21	74	60	45	67	49	43	93	75	57	29.86	29.68	29.59	10	7	2	20	4	31
2013-12-22	56	48	39	43	36	28	93	68	43	30.41	30.13	29.87	10	10	5	16	6	25
2013-12-23	58	45	32	31	27	23	76	52	27	30.56	30.49	30.41	10	10	10	8	3	12
2013-12-24	61	46	31	36	28	21	89	56	22	30.56	30.45	30.3	10	10	7	12	4	20
2013-12-25	58	50	41	44	40	36	86	71	56	30.41	30.33	30.27	10	10	7	10	2	16
2013-12-26	57	48	39	39	36	33	79	63	47	30.47	30.4	30.34	10	9	7	12	3	17
2013-12-27	60	53	45	41	39	37	83	65	47	30.46	30.39	30.34	10	9	7	7	1	11
2013-12-28	62	51	40	43	39	33	92	64	36	30.33	30.17	30.04	10	10	7	10	2	14
2013-12-29	64	50	36	49	41	28	92	76	60	30.31	30.1	29.99	10	10	4	17	5	24
2013-12-30	44	40	35	31	26	21	75	60	45	30.44	30.33	30.26	10	10	10	13	5	21
2013-12-31	55	46	36	31	28	23	76	54	32	30.49	30.39	30.27	10	10	10	8	1	12
2014-01-01	69	54	39	51	42	30	83	68	52	30.25	30.11	30.01	10	10	8	13	4	22